PRODUCT_ID,PRODUCT_DESCRIPTION
62,Kesler Marble Avorio 24 in. x 48 in. Polished Porcelain Floor and Wall Tile (15.5 sq. ft./case)
63,Highline Arc 12 in. Rough In 2-Piece 1.28 GFP Single Flush Elongated Chair Height Toilet in White with Soft Close Seat
64,2 in. x 0.113 in. 30 Paper Collated Exterior Galvanized Offset Round Ring Shank Framing Nails 1000 per Box
65,Enhance Naturals 1 in. x 12 in. x 12 ft. Coastal Bluff Composite Deck Fascia Board
66,8511 N95 Disposable Respirator with Cool Flow Valve (10-Pack)
67,1x6-12' Enhance Naturals Rocky Harbor Composite Groove Deck Board
68,Solar Naturals Water Softener Salt Crystals
69,ProPress 1/2 in. Press Copper Cap (10-Pack)
70,#8 x 1-1/4 in. #2 Phillips Reduced Flat Head Fiber Cement Board Screws 1 lb. Box
71,200 sq. ft. Universal Hidden Deck Fasteners - Combo Bucket
72,6 in. x 6 in. x 8 ft. 2 Ground Contact Cedar-Tone Pressure-Treated Timber
73,1 in. x 3 in. x 8 ft. Furring Strip Board
74,2 in. PVC DWV Wye Fitting
75,Chain Bull Float Bracket
76,5/8 in. x 6 in. Zinc Plated Steel Hex Nut Head Solid Concrete Wedge Anchors (10-Pack)
77,50 lb. Fast-Setting Concrete Mix
78,Yardan Graphite 24 in. x 48 in. Matte Porcelain Stone Look Floor and Wall Tile (15.28 sq. ft./Case)
79,ProPress 1/2 in. Press Copper Coupling with Stop (10-Pack)
80,Cobra SnowCountry 11.5 in. x 48 in. Filtered Plastic Roof Ridge Exhaust Vent in Black
81,50 lb. Crack Resistant Concrete Mix
82,2 in. x 6 in. x 10 ft. KD-HT SPF Dimensional Lumber
83,2-1/2 in. Torx Flat Undercut 10 Pebble Grey and Whidbey Color-Match Composite Deck Screws 75-Count/Box
84,20 Amp 1 in. Single Pole Circuit Breaker (THQL1120A)
85,Trex Hideaway Hidden Deck Fasteners 500 sq.ft. Combo Pack
86,4 in. x 25 ft. Flexible Foil Duct
87,ProPress 3/4 in. Press Copper 90¬? Elbow (10-Pack)
88,2 7/8 in. x 4 7/8 in. x 1 in. Fine Angled Drywall Sanding Sponge (4-Pack)
89,Q-Line 15 Amp 1 Single-Pole Circuit Breaker
90,"2-piece 1.1 GPF/1.6 GPF High Efficiency Dual Flush Complete Elongated Toilet in White, Seat Included"
91,1-5/8 in. Dia x 6 ft. 16-Gauge Galvanized Steel Chain Link Fence Line Post
92,4.5 Gal Thermal Expansion Tank
93,8 In. x 48 In. Builders Tube
94,5/4 in. x 6 in. x 20 ft. Ground Contact Pressure-Treated Cedar-Tone Pine Premium Decking Board
95,ML 2 in. x 6 in. 12-Gauge ZMAX Galvanized Medium L Angle
96,ArmorGuard 15/16 in. x 5-1/4 in. x 8 ft. Coastal Gray Square Edge Capped Composite Decking Board
97,"20 in. x 25 in. x 1 in. Standard Pleated Furnace Air Filter FPR 5, MERV 8 (3-Pack)"
98,8 x 1-1/4 in. 2 Phillips Bugle Head Coarse Thread Sharp Point Drywall Screws 25 lb. bucket
99,Wire Twister
100,18 lb. Easy Sand 5 Lightweight Setting-Type Joint Compound
101,6 in. x 6 in. x 12 ft. #2 Ground Contact Pressure Treated Timber
102,Hardboard Tempered Panel (Common: 1/8 in. 4 ft. x 8 ft.; Actual: 0.115 in. x 47.7 in. x 95.7 in.)
103,8 in. x 36 in. Versetta Stone Tight Cut Corner Mission Siding
104,Enhance Naturals 1 in. x 6 in. x 20 ft. Foggy Wharf Grooved Edge Composite Deck Board
105,3 in. x 180 ft. Seam Tape
106,6 x 2 in. 2 Phillips Bugle Head Coarse Thread Sharp Point Drywall Screws 1 lb. Box
107,Metro Gris 12 in. x 24 in. Matte Porcelain Floor and Wall Tile (16 sq. ft. /Case)
108,4 in. x 10 ft. EZ-Drain Prefabricated French Drain with Pipe
109,60-Watt Equivalent A19 Non-Dimmable LED Light Bulb Daylight (16-Pack)
110,San Clemente Matte Black Single Cylinder Low Profile Door Handleset with Halifax Handle Featuring SmartKey Security
111,"SmartSide 540 Series Cedar Texture Trim Engineered Treated Wood Siding, Application As 4 in. x 16 ft."
112,3/4 in. x 1/2 in. x 3/4 in. Copper Pressure All Cup Reducing Tee Fitting
113,12 oz. Big Gap Filler Insulating Spray Foam Sealant
114,28 in. Wood Handle D-Grip Carbon Steel Drain Spade
115,"4 in. W Steel Metallic Square Cover, Raised, 1/2 in. Open with Ears 2-3/4 in. OC (1-Pack)"
116,2 in. PVC DWV 90¬? Street Elbow Fitting
117,TimberLOK Structural Wood Screws - 4 inch wood screws with hex head - Black (50 Pack)
118,ArmorGuard 4 in. x 4 in. x 95.5 in. White Composite Post Sleeve
119,855 1/4 in. x 1-1/8 in. x 96 in. PVC Composite White FRP Divider Molding fits 1/8 in. material
120,Collated Cortex Hidden Fastening System for Trex Transcend Decking - 2-1/2 in. screws and plugs in Spiced Rum (50 LF)
121,Hardie Trim HZ5 0.75 in. x 2.5 in. x 12 ft. Statement Collection Arctic White Rustic Grain Fiber Cement Batten Trim
122,Camelot Aged Bronze Single Cylinder Door Handleset with Accent Door Handle
123,#9 x 2-1/2 in. Tan Star Flat-Head Wood Deck Screw (1 lb. / 87-Piece)
124,3/4 in. x 4 ft. x 8 ft. CDX Fire-Retardant Pressure-Treated Plywood
125,1-1/2 in. PVC Schedule 40 S x S Coupling
126,1 in. x 10 ft. Black Steel Pipe
127,#6 x 1 1/4 in. Pillips Scavenger Head Drywall Screws (20 lb. box)
128,10.1 oz. Black Exterior Roofing Blacktop  Roof Sealant
129,2 in. x 12 in. x 12 ft. 2 Prime Ground Contact Pressure-Treated Southern Yellow Pine Lumber
130,1.625 in. x 10 in. White Aluminum Window Cap (6699
131,3-3/4 in. x 90 ft. ZIP System Tape
132,2 in. x 4 in. x 84 in. Prime Kiln-Dried Whitewood Stud
133,"3/8 in. Heavy Duty Staples (5,000 per Box)"
134,14 AWG to 2 AWG Dual Rated Mechanical Lug with 1 Conductor and 1 Hole Mount (2-Pack)
135,Enhance Basics 1 in. x 6 in. x 12 ft. Clam Shell Grooved Edge Composite Deck Board
136,1/2 in. x 4 ft. x 8 ft. EdgeGuard Cement Board
137,F4-1/2 White Aluminum Drip Edge
138,12 inch Rough In Two-Piece 1.1 GPF/1.6 GPF Dual Flush Elongated Toilet in White Seat Included
139,FibaTape Standard White 1-7/8 in. x 150 ft. Self-Adhesive Mesh Drywall Joint Tape
140,#10 x 3-1/2 in. #2 Phillips Bugle Head Coarse Thread Coated Exterior Wood Screws 5 lb. Box
141,32 in. x 80 in. 2-Panel Shaker Left-Hand Primed Solid Core Wood Single Prehung Interior Door
142,"1-1/2 in. Wire 7.2M Electro-Galvanized Steel Coil Roofing Nails (7,200 per Box)"
143,"QUAD Advanced 10 oz. White #001 Exterior, Window, Door, and Siding Caulk Sealant"
144,2-1/2 in. Drive Pins with Washers (100-Pack)
145,6 in. x 30 in. Satin Stainless Steel Kickplates
146,23/32 in. x 4 ft. x 8 ft. Southern Pine Tongue and Groove Plywood Sheathing
147,Summit 1 in. x 6 in. x 20 ft. Glacier Gray Square Edge Composite Deck Board
148,TOUGHSYSTEM 2.0 DXL 30 in. Deep Drawer Box
149,23/32 in. x 4 ft. x 8 ft Cabinet Grade Plywood Panel (Actual: 0.688 in. x 48 in. x 96 in.)
150,1-Gang White Toggle Nylon Midway/Midsize Wall Plate (1-Pack) PJ1-W
151,3/8 in. x 10 ft. Strut Fitting Galvanized Threaded Electrical Support Rod (ZR1038)
152,Lite Blue 4.5 Gal. Pre-Mixed Lightweight Joint Compound Carton
153,3 in. x 0.120 in. Round Drive 30-Degree Steel Galvanized Ring Shank Paper Tape Framing Nails ( 750 Per Box )
154,Gladiator 50 Gal. Medium 12-Year 5500-Watt Double Element Smart Electric Water Heater w/ Leak Detection and Auto Shutoff
155,Strong-Drive 1-1/2 in. x 0.148 in. SCN Smooth-Shank HDG Connector Nail (120-Pack)
156,0.75 in. x 1-1/2 in. x 12.6 ft. Khaki Vinyl Finish Trim
157,BLAZE 165 ft. Laser Distance Tape Measuring Tool with Area and Volume
158,Wire Spool Hand Caddy
159,Brandywine Stainless Steel Passage Hall and Closet Door Knob Contractor Pack (6-Piece)
160,"35.75 in. x 53.25 in. 50 Series White Double Hung Low-E Argon Glass Vinyl Replacement Window, Screen Incl"
161,#9 x 2-1/2 in. #2 Phillips Bugle Head Coarse Thread Coated Exterior Wood Screws 5 lb. Box
162,HDAZ2 Heavy Duty Adhesive Zippers 3 in. x 84 in. (2-Pack) with 2-Hooks and a ZipperKnife Sheeting Cutter Red
163,Enhance Naturals 1 in. x 6 in. x 20 ft. Toasted Sand Grooved Edge Composite Deck Board
164,2 in. x 4 in. x 12 ft. #2 Prime Cedar-Tone Pressure-Treated Ground Contact Southern Pine Lumber
165,3 ft. x 100 ft. WeedBlock Weed Barrier Landscape Fabric with Microfunnels
166,Enhance 6 ft. x 36 in. Vintage Lantern Composite Rail with Black Round Aluminum Baluster Kit-Stair
167,RC-1 Pro Resilient Channel Single Leg 12 ft.
168,Double 4 in. x 150 in. Pewter Lap Vinyl Siding
169,"5/16"" x 48"" x 96"" Natural Oak Decorative Slat Wall Panel"
170,1.88 in. x 54.6 yds. Heavy Duty Shipping Packaging Tape with Dispenser
171,"BCS ZMAX Galvanized Post Cap for Double 2x Beam, 4x Post"
172,3/8 in. Compression x 1/2 in. FIP x 20 in. Braided Polymer Faucet Supply Line
173,"T50 1/2 in. Stainless-Steel Staples (1,000-Pack)"
174,1-1/2 in. x 18-Gauge Galvanized Brad Nails (2000 per Box)
175,20 in. x 10 ft. Brown Galvanized Steel W-Valley Flashing
176,28 in. x 80 in. 2-Panel Left Hand Smooth Hollow Core White Carrara Primed Molded Single Prehung Interior Door
177,1 in. x 12 in. x 12 ft. Enhance Naturals Rocky Harbor Composite Fascia Square Edge (Actual Size: 0.56 in. x 11-3/8 in.)
178,1-1/4 in. x 0.120 in. 11-Gauge Electrogalvanized Ring Shank Wire Coil Roofing Nails (7200 per Box)
179,4 in. PVC Open Toilet Flange
180,1/2 in x 2 ft. #4 Rebar
181,Strong-Drive #9 x 2-1/2 in. SD Structural-Connector Screw (100-Pack)
182,4 in. x 4 in. x 8 ft. 2 Ground Contact SYP Cedar-Tone Pressure-Treated Timber
183,"1/4"" 3x5 USG Durock Brand EdgeGuard Cement Board - Mold & Moisture Resistant 17021505"
184,2 in. x 12 in. x 12 ft. #2 Prime and Better Cedar-Tone Pine Pressure Treated Lumber
185,500 ft. 14 Gauge Yellow Solid Copper THHN Wire
186,ProPress 3/4 in. Press Copper Coupling No Stop (10-Pack)
187,2 in. x 6 in. x 12 ft. Kiln Dried After Treatment Fire-Retardant Pressure-Treated Lumber
188,Timberline Natural Shadow Weathered Wood Lifetime Architectural Shingles (33.3 sq. ft. per Bundle)
189,ABW ZMAX Galvanized Adjustable Standoff Post Base for 6x6 Nominal Lumber
190,50 lb. Commercial Grade Blacktop Repair Patch
191,94 lb. Portland Cement
192,VersaBond 55 lb. Gray Fortified Thinset Mortar
193,Nextile 30 in. x 60 in. x 60 in. 4-Piece Direct-to-Stud Alcove Tub Surround in White
194,4 in. x 4 in White Vinyl Gothic Fence Post Cap
195,1 gal. High Performance Protective Enamel Gloss Black Oil-Based Interior/Exterior Paint
196,RedGard 3-1/2 Gal. Waterproofing and Crack Prevention Membrane
197,Hardie Plank HZ5 8.25 in. x 144 in. Statement Collection Arctic White Cedarmill Fiber Cement Lap Siding
198,Performance Platinum 65 Gal. Smart High Efficiency Hybrid Heat Pump Water Heater with 10-Year Warranty
199,Tub and Tile Silicone 1 Caulk 10.1 oz Kitchen and Bath Sealant Clear
200,2.47 in. x 10 ft. Musket Brown Aluminum Roof Apron Flashing
201,32 in. x 80 in. 2-Panel Left Hand Smooth Hollow Core White Carrara Primed Molded Single Prehung Interior Door
202,12 ft. W x 400 ft. L 0.31 mil High Density Painters Plastic Sheeting
203,VersaBond-LFT 50 lb. White Professional Medium Bed Large Format Tile Mortar
204,0.5 cu. ft. Bagged Pond Pebble Landscape Rock
205,5/8 in. x 5-1/2 in. x 5 ft. American Western Red Cedar Dog-Ear Fence Picket
206,Heritage Weathered Wood Architectural Shingles (avg. 32.8 sq. ft. per Bundle) (1007039215)
207,"Decora 15 Amp 3-Way Switch, White 5603-2WS"
208,"LASH Yellow Wedge, Part B of Two-Part Tile Leveling System 300-Pack"
209,3 in. x 0.131 in. 21 Plastic Collated Smooth Shank Framing Nails 4000 per Box
210,1/2 in. Copper All Cup Tee Fitting (10-Pack)
211,Alexandra White 12 in. x 24 in. Matte Porcelain Marble Look Floor and Wall Tile (16 sq. ft. /Case)
212,QuickStart 33 lin. ft. Peel and Stick Roofing Starter Shingle Roll
213,AC ZMAX Galvanized Adjustable Post Cap for 6x Nominal Lumber
214,Q-Line 20 Amp 1/2 in. 1-Pole Circuit Breaker (THQP120)
215,5/8 in. x 1-1/2 in. x 12.6 ft. White J-Channel
216,50 lbs. Sweeping Compound
217,Polyblend Plus #60 Charcoal 25 lb. Sanded Grout
218,Timbertex Shakewood Double-Layer Hip and Ridge Cap Roofing Shingles (20 lin. ft. Per Bundle) (30-Pieces)
219,2 in. x 8 in. x 8 ft. 2 Prime Ground Contact Pressure-Treated Southern Yellow Pine Lumber
220,1 in. Copper Pressure 90 Cup x Cup Elbow Fitting
221,1-1/4 in. x 10 ft. Electrical Metallic Tubing (EMT) Conduit
222,4 in. x 6 in. x 10 ft. #2 Ground Contact Cedar-Tone Pressure-Treated Timber
223,"LP 440 Series Application as 4"" x 8' Cedar Texture Trim Engineered Treated Wood Siding"
224,French Oak Bidwell 12 MIL 7.2 in. x 48 in. Click Lock Waterproof Luxury Vinyl Plank Flooring (23.9 sq. ft./case)
225,4 in. x 6 in. x 12 ft. 2 Ground Contact Cedar-Tone Pressure-Treated Timber
226,Certain Teed 3-1/2 in. x 100 ft. No Coat Flexible Composite Drywall Corner Bead Roll
227,Safe Flo 1 lb. Lead-Free Silver Solder Wire
228,Essence 27 in. 4 Light Chrome Modern Integrated LED Vanity Light Bar for Bathroom with Bubble Glass
229,ProSTUD 20 3-5/8 in. x 8 ft. 20-Gauge EQ Galvanized Steel Wall Framing Stud
230,"LT 6 in. Adjustable CCT Canless IC Rated Dimmable Indoor, Outdoor Integrated LED Recessed Light Kit (4-Pack)"
231,3 in. x 10 ft. PVC Schedule 40 Foam-Core DWV Pipe
232,"T50 3/8 in. Leg x 3/8 in. 506 Galvanized, Medium Crown, Divergent Point, 20-Gauge, Heavy-Duty Steel Staples (1,250-pack)"
233,15/16 in. x 5-1/4 in. x 20 ft. Stone Gray Squared Edge Capped Composite Decking Board
234,5-Step Ground Contact Pressure-Treated Pine Stair Stringer
235,#7 in. x 2 in. Phillips Scavenger Head Coarse Thread Drywall Screws (20 lbs. box)
236,2 in. PVC Solvent Weld Shower Drain with Snap-In Stainless Steel Strainer
237,Hardie Panel HZ5 48 in. x 96 in. Primed Smooth Fiber Cement Panel Siding
238,5/4 in. x 6 in. x 16 ft. Premium Radius Edge Cedar Decking Board
239,1/2 in. x 4 in. Steel Hex Washer-Head Indoor/Outdoor Concrete Anchors (10-Piece)
240,10 in. x 48 in. Concrete Form Tube
241,2 in. x 1-1/2 in. x 1-3/8 in. Galvanized Angle
242,2 in. x 6 in. x 10 ft. 2 Prime Ground Contact Pressure-Treated Southern Yellow Pine Lumber
243,#6 x 1 5/8 in. Pillips Scavenger Head Coarse Thread Drywall Screws (20 lb. box)
244,ArmorGuard 15/16 in. x 5-1/4 in. x 20 ft. Coastal Gray Grooved Edge Capped Composite Decking Board
245,60 lbs. Type N Mortar Mix
246,8 in. Pine Shims (12-Pack)
247,1/2 in. x 6 in. Hot-Galvanized Anchor Bolt
248,24 in. x 50 ft. Bright White Aluminum Trim Coil
249,23/32 in. x 4 ft. x 8 ft. Pine Structural Engineered Oriented Strand Board (OSB)
250,1-3/4 in. x 11-7/8 in. x 20 ft. LVL
251,8 x 1-5/8 in. Black Exterior Self-Starting Torx Drive Flat-Head Deck Screw (5 lbs. / 735-Piece)
252,2 in. x 6 in. x 8 ft. # 2 Premium Grade SPF Dimensional Lumber
253,9 x 3 in. Star Drive Dual Flat Head Coarse Thread Construction Screws 1 lb. Box
254,#6 x 1-5/8 in. #2 Phillips Bugle Head Fine Thread Drywall Screws 25 lb. bucket
255,3-5/8 x 14 Steel Stud 20 GA
256,6 in x 6 in x 8 ft. Rough Timber Treated to Light Duty
257,3-1/4 in. x 0.131-Gauge 30-Degree Brite Smooth Shank Paper Tape Framing Nails (2500 per Box)
258,3/4 in. x 6 in. x 6 ft. Alta Premium Treated Dog-Ear Fence Picket
259,Timberline HDZ Hickory Algae Resistant Laminated High Definition Shingles (33.33 sq. ft. per Bundle)
260,1/2 in. CPVC Inlet x 3/8 in. Compression Outlet Multi-Turn Angle Valve
261,1x6-20' Enhance Naturals Foggy Wharf Composite Square Deck Board
262,2 in. x 8 in. x 8 ft. 2 Premium Grade Southern Yellow Pine Dimensional Lumber
263,6 ft. Pressure-Treated Aluminum and Cedar-Tone Southern Yellow Pine Preassembled Rail Kit
264,Enhance Naturals 1 in. x 6 in. x 20 ft. Rocky Harbor Square Edge Composite Deck Board
265,#9 x 2-1/2 in. Tan Torx Flat-Head Wood Deck Screw (5 lbs. / 435-Piece)
266,Venture 1 in. x 6 in. x 16 ft. Saltwater Gray Grooved Edge Composite Deck Board
267,4 in. x 10 ft. Singlewall Solid Drain Pipe
268,Cortex 2-1/2 in. x 100 lin. ft. Collated for Trex Enhance Foggy Wharf
269,9 x 3 in. Green Exterior Self-Starting Torx Flat-Head Wood Deck Screws (1 lb./62-Piece)
270,2 in. x 12 in. x 20 ft. 1 Cedar-Tone Ground Contact Pressure-Treated Lumber
271,2 in. x 4 in. x 7 ft. . Prime Kiln-Dried Whitewood Framing Stud
272,#8 x 3 in. #2 Phillips Bugle Head Coarse Thread Drywall Screws 1 lb. Box
273,2 in. x 6 in. x 10 ft. #2 Prime Cedar-Tone Pressure-Treated Ground Contact Southern Pine Lumber
274,Seal-A-Ridge Charcoal Hip and Ridge Shingles (25 linear ft. per Bundle)
275,10 ft. 12-Gauge Half Slotted Metal Framing Strut Channel in Silver Galvanized (ZA12HS10EG)
276,#9 x 3 in. Brown Self-Starting Torx Bugle-Head Composite Deck Screws (1 lb./65-Piece)
277,3-Step Ground Contact Pressure-Treated Pine Stair Stringer
278,#9 x 2-1/2 in. Tan Torx Flat-Head Wood Deck Screws (25 lb./1823-Piece)
279,2.47 in. x 10 ft. White Galvanized Steel Roof Apron Flashing
280,2 in. x 8 in. x 20 ft. FIR 2 Standard Grade Dimensional Lumber
281,5/8 in. x 20 ft. 5 rebar
282,8 ft. Corrugated Galvanized Steel 31-Gauge Roof Panel
283,36 in. x 5 in. Fresno Round End Finishing Trowel
284,GAF Seal-A-Ridge Asphalt Hip & Ridge Cap Shingles - Lifetime Limited Warranty Barkwood 0850070 (1 BD/25 LF)
285,36 in. x 72 ft. 216 sq. ft. Felt Roof Underlayment
286,2 in. x 11-Gauge Electrogalvanized Smooth Shank Roofing Nails 5 lb. Box
287,R-19 Faced Fiberglass Insulation Batt 23 in. x 93 in. (1 Bag)
288,1/2 in. x 5-1/2 in. Galvanized Steel Hex-Nut-Head Concrete Wedge Anchors (10-Pack)
289,"#9 x 1-1/2 in. 1/4-Hex Drive, Strong-Drive SD Connector Screw (100-Pack)"
290,3 in. x 0.120-Gauge 30 -Degree Galvanized Ring Shank Paper Tape Framing Nails (2000 per Box)
291,2 in. x 6 in. x 16 ft. 2 Standard Grade SPF Dimensional Lumber
292,0.88 oz. Concrete Pharmacy Set Control
293,3/4 in. x 10 ft. Electrical Metallic Tubing (EMT) Conduit
294,2 in. x 2 in. x 3 ft. Pressure-Treated Wood Square Edge Cedar-Tone Baluster
295,18 in. Basin Cover for Sump and Sewage Basins
296,R-13 Faced Fiberglass Insulation Batt 23 in. x 93 in. (1 Bag)
297,General Purpose Sanding Sponge 4.5 in. x 2.5 in. x 1 in. 120 Fine-Grit (3-Pack)
298,#6 x 2 in. #2 Phillips Bugle Head Fine Thread Drywall Screws 25 lb. bucket
299,Courtland 30 in. W x 12 in. D x 12 in. H Assembled Shaker Wall Bridge Kitchen Cabinet in Polar White
300,36 in. x 80 in. 6 Panel Colonist Primed Left-Hand Textured Molded Composite Single Prehung Interior Door
301,Corbin Medium 13 in. Modern 1-Light Black Tapered Hardwired Outdoor Wall Light Lantern Sconce with Clear Glass
302,5/8 in. x 4 ft. x 8 ft. Exterior Wall Sheathing
303,Lockson Mix 16 in. x 32 in. Polished Porcelain Marble Look Floor and Wall Tile (13.56 sq. ft. /Case)
304,Enhance Naturals 1 in. x 6 in. x 20 ft. Toasted Sand Grooved Edge Brown Composite Deck Board
305,2 in. x 10 in. x 20 ft. 1 Pressure Treated Pine Lumber
306,Strata 12 in. x 24 in. Matte Ceramic Marble Look Floor and Wall Tile (16 sq. ft./Case)
307,6 in. x 3 in. Stainless Steel Edger with 3/8 in. R
308,24 in. x 80 in. 2 Panel Carrara Primed Hollow Core White Smooth Molded Single Bi-Fold Interior Door
309,ArmorGuard 4 in. x 4 in. White New England Plastic Beveled Post Sleeve Cap
310,Bayview Pine 12 MIL x 7 in. W x 48 in. L Waterproof Click Lock Luxury Vinyl Plank Flooring (23.8 sq. ft./Case)
311,5/8 in. x 6 in. x 6 ft. American Western Red Cedar Flat-Top Fence Picket
312,7-1/4in. x 60-Tooth Ultra Finish Circular Saw Blade for Wood
313,1/2 in. x 12 in. x 8 ft. Reversible Cellular PVC Fascia
314,1/2 in. x 4-1/4 in. Zinc-Plated Steel Hex-Nut-Head Solid Concrete Wedge Anchors (25-Pack)
315,4 in. x 6 in. x 10 ft. #2 Ground Contact Pressure-Treated Timber
316,101 Non-Fibered Black Foundation Coating 4.75 gal.
317,Galvanized Steel Roof Cap with Built-In Damper for 3-1/4 in. x 10 in. Duct or up to 8 in. Round Duct in Black Steel
318,EPB Hot-Dip Galvanized Pier-Block Elevated Post Base for 4x4 Nominal Lumber
319,Vinyl Starter Strip
320,1/2 in. x 4 ft. x 10 ft. UltraLight Drywall
