DATA_ID,MARKET,SCHEDULED_DELIVERY_DATE,DELIVERY_CREATE_DATE,VEHICLE_TYPE,CUSTOMER_ORDER_NUMBER,WORK_ORDER_NUMBER,SPECIAL_ORDER,FLOC,UNATTENDED_FLAG,WINDOW_START,WINDOW_END,QUANTITY,VOLUME_CUBEFT,WEIGHT,PALLET,DLVRY_RISK_DECILE,DLVRY_RISK_BUCKET,DLVRY_RISK_PERCENTILE,CUSTOMER_NOTES,CUSTOMER_NOTES_LLM_SUMMARY,HISTORIC_NOTES_LLM_SUMMARY,HISTORIC_NOTES_W_LABELS,RI_GENERATE_DATETIME,CUSTOMER_ID,OSR_ID,ADDRESS_ID,WEATHER_ID
3357,CHICAGO,2025-06-19,2025-06-17,FLAT,H1901-359765,143522604,False,5928,True,10:00:00,14:00:00,105.0,55.4,4268.0,2.0,5,MEDIUM,58,,,,,2025-06-18 11:31:39.500294,45,7.0,45,40
2075,CHICAGO,2025-06-20,2025-06-18,FLAT,H1901-359848,143607008,False,5928,True,10:00:00,14:00:00,400.0,192.0,9200.0,8.0,10,LOW,6,Customer wants items delivered by the garage,,,,2025-06-19 12:03:13.267335,46,,2055,34
2303,CHICAGO,2025-07-02,2025-06-25,FLAT,H1901-359907,144315791,False,5928,True,6:00:00,10:00:00,300.0,504.0,21120.0,12.0,6,MEDIUM,43,,,,,2025-07-01 11:38:46.571906,47,,47,40
2920,CHICAGO,2025-06-28,2025-06-19,FLAT,H1901-359953,143766077,False,5928,True,6:00:00,10:00:00,308.0,424.9,20409.6,7.0,9,LOW,16,"on driveway, as close to garage as possible please, one side. call ahead","*** Deliver to driveway, near garage, one side.
*** Delivery considerations include placement near the garage.",,,2025-06-27 11:30:44.339978,48,,170,34
5743,CHICAGO,2025-06-28,2025-06-19,FLAT,H1901-359953,143766082,False,5928,True,6:00:00,10:00:00,348.0,584.6,24499.2,10.0,10,LOW,5,please call 30 min prior to delivery,,,,2025-06-27 11:30:44.339978,49,,49,38
5323,CHICAGO,2025-06-20,2025-06-18,FLAT,H1901-360006,143644088,False,5928,True,6:00:00,20:00:00,100.0,84.0,5151.8,3.0,6,MEDIUM,49,"Call customer 30 min before drop off , please drop off through garage in the back alley","*** Use back alley garage for delivery.
*** Address accessibility requires further investigation.","*** Deliver to the garage behind the house.
*** Investigate driveway access and parking before delivery.",MCT: Deliver to the garage behind the house. | Dispatch: Investigate driveway access and parking before delivery.,2025-06-19 12:03:13.267335,50,,50,40
637,CHICAGO,2025-06-21,2025-06-19,FLAT,H1901-360110,143718179,False,5928,False,6:00:00,10:00:00,97.0,153.8,5716.4,8.0,8,LOW,22,,,,,2025-06-20 13:21:56.958639,51,,51,40
3927,CHICAGO,2025-06-21,2025-06-19,FLAT,H1901-360110,1629749A,False,5928,False,6:00:00,10:00:00,197.0,203.8,7096.4,6.0,7,MEDIUM,36,Call br delivery delivery from the bac please do not delivery b/4 10AM,,"*** Deliver to the back of the building.
*** Investigate building access beyond rear access.",MCT: Deliver to the back of the building. | MCT: Investigate building access beyond rear access.,2025-06-20 13:21:56.958639,52,,52,40
1394,CHICAGO,2025-06-21,2025-06-19,FLAT,H1901-360205,143768564,False,5928,True,6:00:00,10:00:00,210.0,173.4,16131.4,5.0,7,MEDIUM,35,Call 1 hour prior.,,"*** Warehouse has limited space; expect significant unloading delays (40+ minutes).
*** Ensure complete paperwork and avoid overweight trailers.",Dispatch: Warehouse has limited space; expect significant unloading delays (40+ minutes).,2025-06-20 13:21:56.958639,53,,53,40
1565,CHICAGO,2025-06-24,2025-06-20,FLAT,H1901-360334,143839190,False,5928,True,6:00:00,10:00:00,100.0,134.0,4320.0,4.0,5,MEDIUM,50,Call before you arrive.,,,,2025-06-23 11:45:37.944273,54,,387,40
5985,CHICAGO,2025-06-26,2025-06-24,FLAT,H1901-360718,144187440,False,5928,True,6:00:00,10:00:00,294.0,108.8,3263.4,3.0,10,LOW,6,,,"*** Deliver to gravel lot left of building.
*** Confirm location with customer.",Dispatch: Deliver to gravel lot left of building. | MCT: Confirm location with customer.,2025-06-25 11:35:43.221586,55,,55,38
1316,CHICAGO,2025-06-28,2025-06-25,FLAT,H1901-360847,144266736,False,5928,False,6:00:00,20:00:00,82.0,108.8,3937.4,2.0,6,MEDIUM,43,,,"*** Deliver to the driveway.
*** Ensure driveway access.",MCT: Deliver to the driveway. | MCT: Ensure driveway access.,2025-06-27 11:30:44.339978,56,,56,40
4521,CHICAGO,2025-07-09,2025-07-03,FLAT,H1901-361028,145182542,False,5928,False,6:00:00,10:00:00,226.0,358.3,11582.4,6.0,3,HIGH,72,,,,,2025-07-08 11:34:03.389956,57,,57,34
3749,CHICAGO,2025-06-28,2025-06-26,FLAT,H1901-361112,144461844,False,5928,True,6:00:00,20:00:00,6.0,2.8,135.0,3.0,2,HIGH,81,,,,,2025-06-27 11:30:44.339978,58,,58,38
4503,CHICAGO,2025-06-28,2025-06-27,FLAT,H1901-361130,144477056,False,5928,True,6:00:00,20:00:00,52.0,40.0,1612.0,4.0,9,LOW,16,Call prior to delivery,,,,2025-06-27 11:30:44.339978,59,,4728,38
3722,CHICAGO,2025-07-02,2025-06-27,FLAT,H1901-361176,144509046,True,5928,True,6:00:00,10:00:00,65.0,103.8,3861.6,6.0,8,LOW,21,,,,,2025-07-01 11:38:46.571906,60,,4676,40
2746,CHICAGO,2025-07-03,2025-07-01,FLAT,H1901-361635,144901514,False,5928,True,6:00:00,10:00:00,351.0,371.8,13890.3,10.0,10,LOW,2,,,,,2025-07-02 12:39:53.602346,61,8.0,61,38
4535,CHICAGO,2025-07-03,2025-07-01,FLAT,H1901-361732,144939546,False,5928,False,6:00:00,20:00:00,24.0,24.1,977.2,4.0,3,HIGH,78,Call 7992294052,,,,2025-07-02 12:39:53.602346,62,,62,38
1017,CHICAGO,2025-07-04,2025-07-02,FLAT,H1901-361869,145038589,False,5928,False,6:00:00,20:00:00,21.0,8.6,310.2,3.0,10,LOW,5,,,,,2025-07-03 11:27:23.191769,63,,63,40
4317,CHICAGO,2025-07-05,2025-07-03,FLAT,H1901-361959,145120726,False,5928,False,10:00:00,14:00:00,250.0,101.3,3227.5,3.0,10,LOW,2,,,,,2025-07-04 11:32:03.601213,3,2.0,1271,40
5035,CHICAGO,2025-07-12,2025-07-05,FLAT,H1901-362163,145324342,False,5928,False,6:00:00,20:00:00,117.0,25.0,2146.2,3.0,1,HIGH,94,,,,,2025-07-11 11:27:11.349406,27,,65,38
5987,CHICAGO,2025-07-15,2025-07-11,FLAT,H1901-363006,145980563,False,5928,False,6:00:00,10:00:00,85.0,154.6,6624.1,6.0,10,LOW,5,,,,,2025-07-14 11:41:23.021361,64,,4718,40
5708,CHICAGO,2025-07-15,2025-07-14,FLAT,H1901-363200,146178716,False,5928,False,6:00:00,20:00:00,89.0,67.3,1730.0,4.0,3,HIGH,69,Please call Jose 5927137106 when enroute to deliver,,,,2025-07-14 11:41:23.021361,65,,67,38
592,CHICAGO,2025-07-17,2025-07-15,FLAT,H1901-363493,146367982,False,5928,True,10:00:00,12:00:00,45.0,24.8,1451.7,4.0,9,LOW,18,,,,,2025-07-16 11:41:13.618509,66,,68,40
4742,CHICAGO,2025-06-20,2025-05-15,FLAT,H1902-418744,140205270,False,5928,False,10:00:00,14:00:00,588.0,217.6,6526.8,6.0,3,HIGH,72,,,*** Leave packages on the left side of the driveway (facing the garage).,MCT: Leave packages on the left side of the driveway (facing the garage).,2025-06-19 12:03:13.267335,410,2.0,69,40
2477,CHICAGO,2025-06-10,2025-05-14,FLAT,H1902-424186,137879103,False,5928,True,6:00:00,20:00:00,294.0,132.3,2881.2,4.0,1,HIGH,91,call before delivery 3563039742 one hour prior to the delivery.,,,,2025-06-09 11:42:45.457672,68,,70,34
3040,CHICAGO,2025-06-07,2025-06-03,FLAT,H1902-438637,142204221,False,5928,False,6:00:00,10:00:00,150.0,186.8,6380.6,4.0,3,HIGH,74,,,,,2025-06-06 11:47:07.917168,69,,71,34
5284,CHICAGO,2025-06-03,2025-05-30,FLAT,H1902-438836,141790500,False,5928,True,6:00:00,10:00:00,162.0,395.4,16876.8,9.0,5,MEDIUM,53,,,,,2025-06-02 14:07:36.663113,70,,72,40
5589,CHICAGO,2025-06-03,2025-05-31,FLAT,H1902-439028,141907595,False,5928,False,6:00:00,10:00:00,80.0,68.0,6400.0,2.0,10,LOW,3,Please call on your way,,"*** Investigate accessibility at delivery location.
*** Ensure the product is placed as per customer instructions.",MCT: Investigate accessibility at delivery location.,2025-06-02 14:07:36.663113,71,,73,40
3399,CHICAGO,2025-06-03,2025-06-02,FLAT,H1902-439156,142068559,False,5928,False,6:00:00,20:00:00,2.0,0.2,6.0,4.0,2,HIGH,83,,,,,2025-06-02 14:07:36.663113,72,,74,40
2590,CHICAGO,2025-06-03,2025-06-02,FLAT,H1902-439178,142069233,False,5928,False,6:00:00,20:00:00,2.0,6.8,51.0,5.0,2,HIGH,81,,,,,2025-06-02 14:07:36.663113,73,,253,40
2298,CHICAGO,2025-06-06,2025-06-02,FLAT,H1902-439178,142126042,False,5928,False,6:00:00,20:00:00,1.0,4.5,48.0,4.0,2,HIGH,85,ARRIVE BETWEEN 830AM1000AM. PLEASE READ NOTE,"*** Deliver between 8:30 AM and 10:00 AM.
*** Check for additional delivery instructions.",,,2025-06-05 11:42:28.803273,2867,9.0,76,40
2436,CHICAGO,2025-06-07,2025-06-05,FLAT,H1902-439178,142470506,False,5928,False,6:00:00,20:00:00,1.0,4.5,48.0,4.0,2,HIGH,86,,,,,2025-06-06 11:47:07.917168,75,10.0,170,40
3601,CHICAGO,2025-06-10,2025-06-06,FLAT,H1902-439178,142559989,False,5928,False,6:00:00,20:00:00,1.0,4.5,48.0,4.0,1,HIGH,94,,,,,2025-06-09 07:54:03.849960,76,7.0,78,38
5805,CHICAGO,2025-06-03,2025-06-02,FLAT,H1902-439182,142070027,False,5928,False,6:00:00,20:00:00,27.0,17.3,1185.4,8.0,10,LOW,4,,,"*** Verify order contents and ensure all materials are loaded correctly.
*** Gate closes at 4 PM; plan accordingly.",Dispatch: Gate closes at 4 PM; plan accordingly.,2025-06-02 14:07:36.663113,77,,79,40
5871,CHICAGO,2025-06-04,2025-06-02,FLAT,H1902-439322,142134457,False,5928,False,6:00:00,10:00:00,50.0,29.0,845.0,3.0,5,MEDIUM,55,PLEASE CALL MIKE PRIOR TO DELIVERY,,,,2025-06-03 16:31:28.598696,78,,80,40
318,CHICAGO,2025-06-04,2025-06-03,FLAT,H1902-439361,142174601,False,5928,False,6:00:00,20:00:00,76.0,139.4,5279.4,4.0,7,MEDIUM,32,"###COMMERCIAL SITE-BUSINESS HOURS ONLY### ###PLEASE DOUBLE PALLETIZE WATER-IF PALLET HAS TOPPLED OR CASES ARE BUSTED, CUSTOMER NOT RESPONSIBLE FOR RECEIVING DELIVERY.###","*** Deliver double-palletized water during business hours.
*** Inspect pallets for damage before delivery; refuse damaged goods.
*** Proceed with caution.","*** Deliveries must occur during business hours.
*** Use double palletization to prevent damage.",MCT: Deliveries must occur during business hours.,2025-06-03 16:31:28.598696,79,,81,38
5669,CHICAGO,2025-06-04,2025-06-03,FLAT,H1902-439388,142185713,False,5928,False,6:00:00,20:00:00,105.0,49.6,1663.5,6.0,4,MEDIUM,60,,,*** Package OSB carefully to prevent damage.,,2025-06-03 16:31:28.598696,80,,4355,38
4539,CHICAGO,2025-06-05,2025-06-03,FLAT,H1902-439451,142200279,False,5928,False,6:00:00,10:00:00,2.0,0.2,6.0,7.0,3,HIGH,72,,,,,2025-06-04 14:11:39.565891,81,,83,40
2285,CHICAGO,2025-06-10,2025-06-07,FLAT,H1902-439481,142605536,True,5928,False,6:00:00,10:00:00,653.0,438.6,12781.6,7.0,7,MEDIUM,34,,,,,2025-06-09 11:42:45.457672,82,11.0,84,40
525,CHICAGO,2025-06-06,2025-06-04,FLAT,H1902-439592,142316034,False,5928,False,6:00:00,10:00:00,20.0,220.0,2760.0,8.0,5,MEDIUM,54,,,,,2025-06-05 11:42:28.803273,83,2.0,4380,40
2793,CHICAGO,2025-06-06,2025-06-04,FLAT,H1902-439670,142317529,False,5928,False,6:00:00,10:00:00,135.0,110.4,4485.4,8.0,9,LOW,17,DROP RIGHT HAND SIDE GARAGE DOOR,*** Deliver to the right-hand side garage door.,,,2025-06-05 11:42:28.803273,84,,86,40
1503,CHICAGO,2025-06-06,2025-06-04,FLAT,H1902-439707,142333351,False,5928,True,6:00:00,10:00:00,45.0,33.9,3300.0,2.0,3,HIGH,78,call 1 hour before delivery,,,,2025-06-05 11:42:28.803273,85,,3642,34
3081,CHICAGO,2025-06-06,2025-06-04,FLAT,H1902-439752,142356512,False,5928,True,6:00:00,20:00:00,468.0,572.0,23758.5,15.0,5,MEDIUM,58,"Road has no turn around, so box truck is recommended. Flatbed can be parked on road Call customer for more details.","*** Use a box truck; road lacks turnaround.
*** Flatbed truck parking available roadside.
*** Accessibility issues noted for delivery.",,,2025-06-05 11:42:28.803273,86,,88,34
1353,CHICAGO,2025-06-10,2025-06-07,FLAT,H1902-440295,142625779,False,5928,False,6:00:00,10:00:00,40.0,53.6,1728.0,2.0,7,MEDIUM,30,,,,,2025-06-09 11:42:45.457672,87,,4306,38
999,CHICAGO,2025-06-11,2025-06-09,FLAT,H1902-440510,142786211,False,5928,False,6:00:00,10:00:00,76.0,139.5,5280.5,4.0,7,MEDIUM,29,,,,,2025-06-10 12:41:49.240306,88,,90,40
2995,CHICAGO,2025-06-12,2025-06-10,FLAT,H1902-440800,142902746,False,5928,True,6:00:00,10:00:00,11.0,9.2,481.3,5.0,5,MEDIUM,56,,,*** Deliver to the barnshop building.,MCT: Deliver to the barnshop building.,2025-06-11 11:48:47.541802,89,,91,38
5355,CHICAGO,2025-06-12,2025-06-10,FLAT,H1902-440806,142905640,True,5928,False,10:00:00,14:00:00,76.0,62.2,1938.8,8.0,6,MEDIUM,47,please call when delivery is on the way 4860340160,,"*** Keep gate clear.
*** Be mindful of limited parking.",MCT: Keep gate clear. | Dispatch: Be mindful of limited parking.,2025-06-11 11:48:47.541802,90,,92,40
5480,CHICAGO,2025-06-13,2025-06-11,FLAT,H1902-440909,142967700,True,5928,False,10:00:00,14:00:00,617.0,526.3,15428.4,14.0,10,LOW,9,CALL 1 HOUR BEFORE DELIVERY,,,,2025-06-12 12:13:32.908974,91,,93,40
3485,CHICAGO,2025-06-20,2025-06-18,FLAT,H1902-440987,143627605,False,5928,True,6:00:00,10:00:00,200.0,10.1,728.5,3.0,10,LOW,1,,,,,2025-06-19 12:03:13.267335,92,,94,38
2701,CHICAGO,2025-06-25,2025-06-23,FLAT,H1902-440987,144129713,False,5928,True,6:00:00,10:00:00,53.0,2.4,124.2,1.0,6,MEDIUM,42,,,,,2025-06-24 11:34:50.181857,93,,1427,40
4926,CHICAGO,2025-06-19,2025-06-17,FLAT,H1902-441783,143526787,False,5928,False,6:00:00,10:00:00,90.0,71.1,4104.0,4.0,8,LOW,25,,,,,2025-06-18 11:31:39.500294,94,,96,34
